DISTRICTE,CODI_ILLA,SECC_CENS,BARRI,NOM_DISTRICTE,NOM_BARRI,AEB,NUM_PARC,NUM_LOCALS,NUM_VIVENDES,NUM_PARKINGS,NUM_ALTRES,SUP_CONS,SUP_SOBRE_RASANT,SUP_SOTA_RASANT,SUP_LOCALS,SUP_SERVEIS,SUP_SOL,DATA_DADES
3,72672,102,18,Sants-Montjuïc,Sants,74,15,168,69,10,30,10994,10456,538,,,2721,01/09/2023 00:06:16
3,72680,102,18,Sants-Montjuïc,Sants,74,8,145,29,96,7,6521,4615,1906,,,2017,01/09/2023 00:06:16
3,72690,104,18,Sants-Montjuïc,Sants,74,26,294,176,17,49,21196,20490,706,,,6116,01/09/2023 00:06:16
3,72700,104,18,Sants-Montjuïc,Sants,74,22,200,115,1,53,16744,16685,59,,,5629,01/09/2023 00:06:16
3,72721,101,18,Sants-Montjuïc,Sants,74,27,638,165,279,142,46999,36777,10222,,,17218,01/09/2023 00:06:16
3,72730,101,18,Sants-Montjuïc,Sants,74,8,101,61,9,16,6495,5930,565,,,1045,01/09/2023 00:06:16
3,72743,25,12,Sants-Montjuïc,la Marina del Prat Vermell,60,9,131,1,93,37,26012,22845,3167,,,21055,01/09/2023 00:06:16
3,72744,26,13,Sants-Montjuïc,la Marina de Port,61,3,14,1,2,7,81975,56399,25576,,,90855,01/09/2023 00:06:16
4,15700,18,19,Les Corts,les Corts,79,10,184,93,1,38,18374,17389,985,,,2679,01/09/2023 00:06:16
4,15710,18,19,Les Corts,les Corts,79,17,476,277,54,87,44329,40835,3494,,,7016,01/09/2023 00:06:16
4,15720,18,19,Les Corts,les Corts,79,12,503,230,97,114,75141,67525,7616,,,10192,01/09/2023 00:06:16
4,15721,18,19,Les Corts,les Corts,79,1,356,0,356,0,9625,134,9491,,,134,01/09/2023 00:06:16
4,15750,19,19,Les Corts,les Corts,79,20,609,394,4,143,97444,83080,14364,,,12170,01/09/2023 00:06:16
4,15760,19,19,Les Corts,les Corts,79,10,182,76,9,72,74561,52984,21577,,,7496,01/09/2023 00:06:16
4,15771,20,19,Les Corts,les Corts,79,22,877,493,157,226,90818,80869,9949,,,17498,01/09/2023 00:06:16
4,15772,20,19,Les Corts,les Corts,79,1,0,0,0,0,0,0,0,,,3253,01/09/2023 00:06:16
4,15780,17,19,Les Corts,les Corts,79,27,612,262,262,70,40585,32227,8358,,,8547,01/09/2023 00:06:16
4,15790,20,19,Les Corts,les Corts,79,8,377,136,172,27,24216,18821,5395,,,4993,01/09/2023 00:06:16
